concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.00000163,0.0004,0.05,0.0123,0.18,1.0296,288.87
0.07,0.08,0.03,0.0123,0.21,1.1683,329.45
0.06,0.0004,0.03,0.0123,0.21,1.1005,315.57
0.00000163,0.04,0.00000009,0.0123,0.22,1.0658,313.09
0.00000163,0.0004,0.00000008,0.0123,0.21,1.0294,287.41
0.00000163,0.04,0.00000008,0.0123,0.21,1.0658,312.49
0.00000163,0.02,0.00000008,0.0123,0.22,1.0306,307.71
0.01,0.01,0.00000009,0.0123,0.2,1.0614,314.81
0.01,0.06,0.00000008,0.0123,0.21,1.1042,324.51
0.00000163,0.02,0.00000008,0.0123,0.12,1.0306,307.15
0.06,0.03,0.00000008,0.0123,0.21,1.1269,325.56
0.02,0.02,0.07,0.0123,0.21,1.0682,321.41
0.00000163,0.05,0.00000008,0.0123,0.21,1.0807,315.04
0.04,0.03,0.03,0.0123,0.17,1.0957,323.65
0.025,0.03,0.00000008,0.0123,0.22,1.1394,324.32
0.005,0.03,0.00000008,0.0123,0.2,1.076,320.38
0.005,0.03,0.00000008,0.0123,0.1,1.0833,320.07
0.00000163,0.06,0.00000008,0.0123,0.28,1.1044,317.09
0.00000163,0.03,0.03,0.0123,0.18,1.0785,310.07
0.04,0.0004,0.04,0.0123,0.21,1.0798,315.83
0.00000163,0.0004,0.00000008,0.0123,0.24,1.0294,287.41
0.00000163,0.07,0.00000009,0.0123,0.2,1.1074,318.12
0.09,0.01,0.03,0.0123,0.21,1.1229,323.65
0.06,0.02,0.03,0.0123,0.23,1.1363,324.51
0.00000163,0.04,0.00000008,0.0123,0.28,1.0677,312.96
0.015,0.02,0.00000008,0.0123,0.32,1.1129,322.32
0.00000163,0.06,0.01,0.0123,0.29,1.098,315.88
0.00000163,0.0004,0.00000008,0.0123,0.16,1.0306,288.6
0.07,0.09,0.01,0.0123,0.21,1.1724,329.97
0.025,0.0004,0.00000007,0.0123,0.21,1.1011,315.06
0.015,0.0004,0.00000008,0.0123,0.08,1.0636,308.39
0.025,0.05,0.00000008,0.0123,0.24,1.1534,326.47
0.02,0.01,0.00000008,0.0123,0.21,1.1036,320.21
0.01,0.0004,0.00000009,0.0123,0.18,1.0306,308.98
0.00000163,0.01,0.00000008,0.0123,0.18,1.0549,305.1
0.02,0.03,0.00000008,0.0123,0.24,1.1271,323.68
0.00000163,0.0004,0.00000007,0.0123,0.26,1.0306,288.57
0.07,0.01,0.00000008,0.0123,0.18,1.1321,323.02
